,State or UT,Overall (%),Male (%),Female (%)
0,Jammu & Kashmir,68.74,76.75,58.01
1,Himachal Pradesh,83.78,90.83,76.6
2,Punjab,86.6,81.48,71.34
3,Chandigarh,86.43,90.54,81.38
4,Uttarakhand,79.63,88.33,70.7
5,Haryana,76.64,85.38,66.77
6,Delhi,86.34,91.03,80.93
7,Rajasthan,67.06,80.51,52.66
8,Uttar Pradesh,69.72,79.24,59.26
9,Bihar,63.82,73.39,53.33
10,Sikkim,82.2,87.29,76.43
11,Arunachal Pradesh,66.95,73.69,59.57
12,Nagaland,80.11,83.29,76.69
13,Manipur,79.85,86.49,73.17
14,Mizoram,91.58,93.72,89.4
15,Tripura,87.75,92.18,83.15
16,Meghalaya,75.48,77.17,73.78
17,Assam,73.18,78.81,67.27
18,West Bengal,77.08,82.67,71.16
19,Jharkhand,67.63,78.45,56.21
20,Odisha,72.9,82.4,64.36
21,Chhattisgarh,71.04,81.45,60.59
22,Madhya Pradesh,70.63,80.53,60.02
23,Gujarat,79.31,87.23,70.73
24,Daman and Diu,87.07,91.48,79.59
25,Dadra and Nagar Haveli,77.65,86.46,65.93
26,Maharashtra,83.2,89.82,75.48
27,Andhra Pradesh,67.35,74.77,59.96
28,Karnataka,75.6,82.85,68.13
29,Goa,87.4,92.81,81.84
30,Lakshadweep,92.28,96.11,88.25
31,Kerala,93.91,96.02,91.98
32,Tamil Nadu,80.33,86.81,73.86
33,Puducherry,86.55,92.12,81.22
34,Andaman and Nicobar Islands,86.27,90.11,81.84
